Увидел,200,,"Эта крылатая фраза, описывающая великолепия города, изначально применялась к Неаполю, однако также известен вариант этой фразы применительно к Парижу. Назовите эту фразу.",Увидеть Париж/Неаполь и умереть
,400,,"Именно к такому спряжению относиться глагол ""видеть""",Второму
,600,audio https://docs.google.com/uc?export=download&id=1pZpkki36fMKrZo9TjEU-tKwwjjnWNkU-,Скажите название этой песни,Видели ночь
,800,,"В кинематографической вселенной Marvel он является синтетическим существом, состоящим из вибраниума на основе искуственного интеллекта Джарвиса",Вижн
,1000,,"Это дефект зрения, связанный с нарушением сферической формы роговицы, которая в этом случае имеет форму не среза шара, а среза тора. ",Астигматизм
Премьер-министры,200,,"Его имя довольно сложное, в частности, включает в себя ""Александер"" и ""де Пфеффель"", но нам он известен под этим именем",Борис Джонсон
,400,,Она стала первой женщиной премьер-министром Великобритании,Маргарет Тетчер
,600,,Он является премьер-министром Италии,Марио Драги
,800,,Этот человек является премьер-министром Канады,Джастин Трюдо
,1000,image https://docs.google.com/uc?export=download&id=1T8T-PHL4xZgPzJ9sAazPGvLU7wbY2e_g,"Он был премьер-министром России до 2004 года, и Forbes называл его одним из самых эффективных премьер-министров России",Касьянов
Жертвы,200,,"Это понятие возникло после Великой французской революции 1789 года - так называли молодых девушек, выбегавших зимой в недавно вошедших в моду шифоновых платьях, и, как результат, огромное количество летальных исходов от пневмонии.",Жертва моды
,400,,Исламский праздник жертвоприношения.,Курбан-байрам
,600,,"Форма психологического насилия, главная задача которого заставить человека мучиться и сомневаться в адекватности своего восприятия окружающей действительности через постоянные обесценивающие шутки, обвинения и запугивания.",Газлайтинг
,800,image https://docs.google.com/uc?export=download&id=1N-NdjvAT0cZBoJ-ttfJwAGktvWRqZp0G,Ее часто называют жертвой пластических операций.,Донателла Версаче
,1000,,"Психологическая и социальная модель созависимых отношений, в которых участвуют трое: Преследователь, Жертва и Спасатель.",Треугольник Карпмана
Родом из Италии,200,image https://docs.google.com/uc?export=download&id=1_nDGGU45hq0KxM0n8_bd0OPqmVpUsYBy,,Моника Беллуччи
,400,image https://docs.google.com/uc?export=download&id=1wQk6TOkyVLPnQdlZFFn-CX_mT_Hq9NMr,,Адриано Челентано
,600,image https://docs.google.com/uc?export=download&id=1aus2x7_a_qyn3iTIsKlUvK7S6TRt2Xrz,,Сильвио Берлускони
,800,image https://docs.google.com/uc?export=download&id=1I-g4a3CCX12vfb46saRqxLY0Ex7a335a,,Дольче и Габана
,1000,image https://docs.google.com/uc?export=download&id=1ckmnjoYSXuroLrVDPqJyzN2niic-ZFOr,,Федерико Феллини
Облачная,200,,"Стихотворение ""Облако в штанах"" было написано именно им",Маяковский
,400,,"Крупнейшим поставщиком услуг ""облачных"" вычислений является именно эта компания",Amazon
,600,,Этот фильм сестер Вачовски и Тома Тыквера  по одноименному роману вышел в 2004 году,Облачный атлас
,800,,"Песня с текстом ""Облака, белогривые лошадки"" стала известна благодаря этому мультфильму",Трям! Здравствуйте
,1000,,"Облака белые, солнце светит в вышине,
Я иду смелая на свидание к тебе.
Зацветет поле все желтыми мимозами,
Девочка в платьице розовом. 

пела эта певица в песне ""Облака""",LOBODA
Молочная,200,,"Непереносимость этого довольно распространена: в Швеции и Дании примерно у 3 % взрослых лиц, в Финляндии и Швейцарии - у 16 %, в Англии - у 20-30 %, во Франции - у 42 %, а в странах Юго-Восточной Азии и у афроамериканцев в США - почти у 100 %",Лактозы (молочный сахар)
,400,," Этот сыр традиционно делают из жирных сливок. Его преимущественно используют при создании десертов, например, Тирамису.",Маскарпоне
,600,,"Любимый напиток Джеффри Лебовски из фильма ""Большой Лебовски"". А в фильме ""Женщина-кошка"" главная героиня заказавает его же в баре, поочередно отменяя все ингредиенты кроме сливок.",Белый русский
,800,,"В Криминальном чтиве герой Джона Траволты спрашивает у официанта, почему это стоит 5 долларов и не добавляют ли туда бурбон.",Молочный коктейль
,1000,,"Напиток родом с Индийского субконтинента, получаемый путём заваривания чая со смесью индийских специй и трав. Существует огромное количество вариаций рецептов, однако единым остается наличие четырех ингредиентов: чая, подсластителя, молока и специй.",Масала чай
